,ref_img,other_img,result,expected_result,cos_dist_np,cos_dist_sfe,total_time,sfe_time,extraction_time,Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status,energy_client,energy_server,online_time.bool.local_gates,online_time.bool.interactive_gates,online_time.bool.layer_finish,online_time.yao.local_gates,online_time.yao.interactive_gates,online_time.yao.layer_finish,online_time.yao_rev.local_gates,online_time.yao_rev.interactive_gates,online_time.yao_rev.layer_finish,online_time.arith.local_gates,online_time.arith.interactive_gates,online_time.arith.layer_finish,online_time.splut.local_gates,online_time.splut.interactive_gates,online_time.splut.layer_finish,online_time.communication,complexities.boolean_sharing.ands,complexities.boolean_sharing.depth,complexities.total_vec_and,complexities.total_non_vec_and,complexities.xor_vals,complexities.gates,complexities.comb_gates,complexities.combstruct_gates,complexities.perm_gates,complexities.subset_gates,complexities.split_gates,complexities.yao.ands,complexities.yao.depth,complexities.reverse_yao.ands,complexities.reverse_yao.depth,complexities.arithmetic_sharing.muls,complexities.arithmetic_sharing.depth,complexities.sp_lut_sharing.ot_gates_total,complexities.sp_lut_sharing.depth,complexities.total_nr_of_gates,complexities.total_depth,timings.total,timings.init,timings.circuitgen,timings.network,timings.baseots,timings.setup,timings.otextension,timings.garbling,timings.online,communication.total.sent,communication.total.received,communication.base_ots.sent,communication.base_ots.received,communication.setup.sent,communication.setup.received,communication.otextension.sent,communication.otextension.received,communication.garbling.sent,communication.garbling.received,communication.online.sent,communication.online.received,cos_dist_ver,cos_dist_sfe
0,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0002.jpg,True,True,0.4069041609764099,0.4069042206,77.42618870735168,41.751174449920654,35.67501425743103,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",16.44,5.08,52%,0:41.02,0,0,0,0,158620,0,21,64914,70060,44732,0,3736,0,0,0,0,4096,0,not measured,not measured,521.5180000000,577.4690000000,458.4600000000,10.3690000000,8.6320000000,4.1160000000,9.0980000000,7.5620000000,3.8470000000,9.5150000000,9.3770000000,11.8300000000,11.9860000000,10.5300000000,64.5790000000,24122.6279999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,33868.3860000000,0.5950000000,0.5390000000,15.4100000000,1919.2970000000,7990.2000000000,7970.9690000000,0.0090000000,25878.1800000000,31648990,31648478,49956,49956,31099273,31099273,31099264,31099273,0,0,549717,549205,0.4069042206,0.4069042206
1,lfw/Ahmet_Necdet_Sezer/Ahmet_Necdet_Sezer_0001.jpg,lfw/Guus_Hiddink/Guus_Hiddink_0001.jpg,False,False,0.7684334367513657,0.7684334517,60.22399640083313,39.13112139701843,21.092875003814697,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",15.77,4.49,52%,0:38.58,0,0,0,0,158608,0,2,64920,69328,42857,0,824,0,0,0,0,4096,0,not measured,not measured,447.9410000000,486.3310000000,398.0240000000,8.0910000000,8.1190000000,3.7270000000,8.3390000000,5.6150000000,2.6470000000,6.7660000000,6.5880000000,11.3000000000,8.6420000000,9.3430000000,54.0750000000,22562.1220000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,31623.5040000000,0.2950000000,0.2580000000,11.9700000000,1905.2240000000,7561.1950000000,7542.0370000000,0.0080000000,24062.3020000000,31648990,31648478,49956,49956,31099273,31099273,31099264,31099273,0,0,549717,549205,0.7684334517,0.7684334517
0,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0002.jpg,True,True,0.48562902212142944,0.4856289625,63.568031787872314,42.19229292869568,21.375738859176636,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",16.57,5.23,52%,0:41.73,0,0,0,0,162800,0,2,65947,71369,43408,0,824,0,0,0,0,4096,0,not measured,not measured,510.3300000000,558.5060000000,453.6960000000,10.1660000000,8.8680000000,4.9690000000,9.0540000000,7.4610000000,3.0440000000,7.5120000000,8.6470000000,10.5190000000,10.3950000000,10.7960000000,60.7170000000,24945.6460000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,34591.4910000000,0.2480000000,0.2400000000,118.2620000000,1905.3920000000,7935.0900000000,7916.0550000000,0.0080000000,26656.3930000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.4856289625,0.4856289625
1,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0003.jpg,True,True,0.4750053286552429,0.4750052691,61.66679525375366,40.68867039680481,20.978124856948853,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",16.18,4.92,52%,0:40.17,0,0,0,0,154516,0,10,63898,71216,44128,0,760,0,0,0,0,4096,0,not measured,not measured,464.6620000000,508.8740000000,407.5900000000,9.8340000000,7.9910000000,4.1140000000,8.8070000000,7.4230000000,2.4890000000,6.3480000000,8.5580000000,9.4200000000,8.5390000000,8.7660000000,48.3770000000,23646.1750000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,33163.5700000000,0.2620000000,0.2530000000,13.3520000000,1920.1110000000,7972.8360000000,7953.4830000000,0.0090000000,25190.7170000000,31648990,31648478,49956,49956,31099273,31099273,31099264,31099273,0,0,549717,549205,0.4750052691,0.4750052691
2,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0004.jpg,False,True,0.6170364320278168,0.6170363426,56.342530488967896,41.68240785598755,14.660122632980347,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",17.22,5.25,54%,0:41.17,0,0,0,0,150328,0,0,62873,71327,44443,0,0,0,0,0,0,4096,0,not measured,not measured,514.4450000000,564.0490000000,455.9970000000,10.4690000000,9.4710000000,4.5780000000,8.3920000000,7.3040000000,3.0930000000,7.8280000000,8.5970000000,11.2930000000,10.5500000000,10.6250000000,58.1400000000,24387.0070000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,34086.3910000000,0.2910000000,0.2550000000,18.0070000000,1957.5990000000,7974.4490000000,7952.8270000000,0.0090000000,26111.9340000000,31648990,31648478,49956,49956,31099273,31099273,31099264,31099273,0,0,549717,549205,0.6170363426,0.6170363426
3,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Ai_Sugiyama/Ai_Sugiyama_0005.jpg,True,True,0.5916658043861389,0.5916658044,56.88826036453247,41.575875997543335,15.312384366989136,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",17.56,4.98,54%,0:41.03,0,0,0,0,162708,0,0,65946,72102,45903,0,0,0,0,0,0,4096,0,not measured,not measured,503.4410000000,551.3850000000,426.1030000000,10.4920000000,8.9330000000,4.8070000000,8.6920000000,7.6340000000,2.9810000000,7.8890000000,8.1500000000,10.6810000000,9.7080000000,10.4540000000,55.5430000000,24374.7050000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,33829.8950000000,0.2840000000,0.2970000000,19.3860000000,1991.4660000000,7790.9500000000,7771.2720000000,0.0090000000,26038.9380000000,31648999,31648478,49947,49956,31099282,31099273,31099273,31099273,0,0,549717,549205,0.5916658044,0.5916658044
4,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Abner_Martinez/Abner_Martinez_0001.jpg,False,False,1.0911025777459145,1.0911026001,57.76162648200989,41.85623264312744,15.905393838882446,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",17.54,4.86,54%,0:41.28,0,0,0,0,154436,0,0,63900,67316,40208,0,16,0,0,0,0,4096,0,not measured,not measured,488.5490000000,539.6790000000,420.9470000000,9.6060000000,7.9680000000,5.1910000000,8.4730000000,6.7400000000,2.5860000000,8.8580000000,8.9140000000,12.3940000000,11.0810000000,9.8240000000,53.9990000000,23911.0820000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,33777.5960000000,0.5150000000,0.3400000000,14.4120000000,2062.2500000000,8234.9880000000,8212.6900000000,0.0080000000,25542.6020000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,1.0911026001,1.0911026001
5,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Grace_Dodd/Grace_Dodd_0001.jpg,False,False,0.9380895681679249,0.9380895495,58.87120771408081,43.1953649520874,15.675842761993408,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",18.48,5.05,55%,0:42.68,0,0,0,0,160656,0,0,65432,68805,44219,0,0,0,0,0,0,4096,0,not measured,not measured,520.4530000000,577.0430000000,436.7170000000,10.8540000000,9.5300000000,5.1330000000,9.6210000000,7.9340000000,2.7490000000,8.2990000000,10.1620000000,11.2310000000,10.4490000000,10.4950000000,54.3170000000,25435.1420000001,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,34959.0040000000,0.3000000000,0.2600000000,13.5660000000,2099.6070000000,7797.8070000000,7776.0310000000,0.0090000000,27161.1890000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.9380895495,0.9380895495
6,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Hikmat_al-Azzawi/Hikmat_al-Azzawi_0001.jpg,False,False,0.9665696173906326,0.9665696025,58.818174839019775,42.94288897514343,15.875285863876343,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",18.13,5.44,55%,0:42.42,0,0,0,0,158612,0,0,64924,70297,43665,0,0,0,0,0,0,4096,0,not measured,not measured,533.1830000000,598.3960000000,477.4620000000,11.1130000000,9.8510000000,3.9900000000,8.0660000000,7.5710000000,2.6390000000,8.4870000000,9.2420000000,10.7080000000,10.5430000000,10.5670000000,57.0630000000,24829.1590000000,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,34644.2370000000,0.3140000000,0.2760000000,21.7920000000,2128.9930000000,8012.4550000000,7990.4430000000,0.0080000000,26631.7590000000,31648990,31648478,49956,49956,31099273,31099273,31099264,31099273,0,0,549717,549205,0.9665696025,0.9665696025
7,lfw/Ai_Sugiyama/Ai_Sugiyama_0001.jpg,lfw/Willis_Roberts/Willis_Roberts_0001.jpg,False,False,0.9006106927990913,0.9006106257,60.22856330871582,44.395667552948,15.832895755767822,"""/home/kamil/pffrocd/ABY/build/bin/cos_dist_float_scen_simd_32 -r 0 -a 192.168.5.114 -f /home/kamil/pffrocd/ABY/build/bin/embeddings.txt -o /home/kamil/pffrocd -s 128 -x 0""",18.36,5.49,54%,0:43.89,0,0,0,0,150444,0,0,62876,70844,42148,0,0,0,0,0,0,4096,0,not measured,not measured,525.0860000000,586.9570000000,479.1020000000,11.7030000000,10.0870000000,4.5440000000,9.8450000000,7.5060000000,2.7960000000,9.4520000000,9.3780000000,13.1560000000,11.4160000000,10.6440000000,61.9440000000,26155.8309999999,1878982,8080,1878982,1878982,1740116,596354,0,0,0,12288,0,0,0,0,0,0,0,0,1,1339400,8080,35995.0990000000,0.2610000000,0.2510000000,15.5610000000,2189.0460000000,8043.3950000000,8021.6840000000,0.0090000000,27951.6950000000,31648990,31648478,49956,49956,31099273,31099273,31099273,31099273,0,0,549717,549205,0.9006106257,0.9006106257
